reference_scene,secondary_scene,reference_date,secondary_date,temporal_baseline_days,orbit_direction,relative_orbit,pair_key,selection_status
S1A_IW_SLC__1SDV_20240311T121314_20240311T121341_052934_06684D_806D,S1A_IW_SLC__1SDV_20240323T121314_20240323T121341_053109_066ED6_BBE1,2024-03-11,2024-03-23,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240311T121314_20240311T121341_052934_06684D_806D__S1A_IW_SLC__1SDV_20240323T121314_20240323T121341_053109_066ED6_BBE1,CANDIDATE
S1A_IW_SLC__1SDV_20240323T121314_20240323T121341_053109_066ED6_BBE1,S1A_IW_SLC__1SDV_20240404T121315_20240404T121342_053284_06757B_D173,2024-03-23,2024-04-04,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240323T121314_20240323T121341_053109_066ED6_BBE1__S1A_IW_SLC__1SDV_20240404T121315_20240404T121342_053284_06757B_D173,CANDIDATE
S1A_IW_SLC__1SDV_20240404T121315_20240404T121342_053284_06757B_D173,S1A_IW_SLC__1SDV_20240416T121315_20240416T121342_053459_067C6D_E449,2024-04-04,2024-04-16,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240404T121315_20240404T121342_053284_06757B_D173__S1A_IW_SLC__1SDV_20240416T121315_20240416T121342_053459_067C6D_E449,CANDIDATE
S1A_IW_SLC__1SDV_20240416T121315_20240416T121342_053459_067C6D_E449,S1A_IW_SLC__1SDV_20240428T121316_20240428T121342_053634_06834C_275A,2024-04-16,2024-04-28,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240416T121315_20240416T121342_053459_067C6D_E449__S1A_IW_SLC__1SDV_20240428T121316_20240428T121342_053634_06834C_275A,CANDIDATE
S1A_IW_SLC__1SDV_20240428T121316_20240428T121342_053634_06834C_275A,S1A_IW_SLC__1SDV_20240510T121316_20240510T121343_053809_068A02_58C3,2024-04-28,2024-05-10,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240428T121316_20240428T121342_053634_06834C_275A__S1A_IW_SLC__1SDV_20240510T121316_20240510T121343_053809_068A02_58C3,CANDIDATE
S1A_IW_SLC__1SDV_20240428T121316_20240428T121342_053634_06834C_275A,S1A_IW_SLC__1SDV_20240522T121315_20240522T121342_053984_069006_423A,2024-04-28,2024-05-22,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240428T121316_20240428T121342_053634_06834C_275A__S1A_IW_SLC__1SDV_20240522T121315_20240522T121342_053984_069006_423A,CANDIDATE
S1A_IW_SLC__1SDV_20240510T121316_20240510T121343_053809_068A02_58C3,S1A_IW_SLC__1SDV_20240522T121315_20240522T121342_053984_069006_423A,2024-05-10,2024-05-22,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240510T121316_20240510T121343_053809_068A02_58C3__S1A_IW_SLC__1SDV_20240522T121315_20240522T121342_053984_069006_423A,CANDIDATE
S1A_IW_SLC__1SDV_20240510T121316_20240510T121343_053809_068A02_58C3,S1A_IW_SLC__1SDV_20240603T121315_20240603T121342_054159_069615_B498,2024-05-10,2024-06-03,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240510T121316_20240510T121343_053809_068A02_58C3__S1A_IW_SLC__1SDV_20240603T121315_20240603T121342_054159_069615_B498,CANDIDATE
S1A_IW_SLC__1SDV_20240522T121315_20240522T121342_053984_069006_423A,S1A_IW_SLC__1SDV_20240603T121315_20240603T121342_054159_069615_B498,2024-05-22,2024-06-03,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240522T121315_20240522T121342_053984_069006_423A__S1A_IW_SLC__1SDV_20240603T121315_20240603T121342_054159_069615_B498,CANDIDATE
S1A_IW_SLC__1SDV_20240522T121315_20240522T121342_053984_069006_423A,S1A_IW_SLC__1SDV_20240615T121315_20240615T121342_054334_069C22_5A68,2024-05-22,2024-06-15,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240522T121315_20240522T121342_053984_069006_423A__S1A_IW_SLC__1SDV_20240615T121315_20240615T121342_054334_069C22_5A68,CANDIDATE
S1A_IW_SLC__1SDV_20240603T121315_20240603T121342_054159_069615_B498,S1A_IW_SLC__1SDV_20240615T121315_20240615T121342_054334_069C22_5A68,2024-06-03,2024-06-15,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240603T121315_20240603T121342_054159_069615_B498__S1A_IW_SLC__1SDV_20240615T121315_20240615T121342_054334_069C22_5A68,CANDIDATE
S1A_IW_SLC__1SDV_20240603T121315_20240603T121342_054159_069615_B498,S1A_IW_SLC__1SDV_20240627T121314_20240627T121341_054509_06A233_B6A8,2024-06-03,2024-06-27,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240603T121315_20240603T121342_054159_069615_B498__S1A_IW_SLC__1SDV_20240627T121314_20240627T121341_054509_06A233_B6A8,CANDIDATE
S1A_IW_SLC__1SDV_20240615T121315_20240615T121342_054334_069C22_5A68,S1A_IW_SLC__1SDV_20240627T121314_20240627T121341_054509_06A233_B6A8,2024-06-15,2024-06-27,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240615T121315_20240615T121342_054334_069C22_5A68__S1A_IW_SLC__1SDV_20240627T121314_20240627T121341_054509_06A233_B6A8,CANDIDATE
S1A_IW_SLC__1SDV_20240615T121315_20240615T121342_054334_069C22_5A68,S1A_IW_SLC__1SDV_20240709T121313_20240709T121340_054684_06A84C_9C26,2024-06-15,2024-07-09,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240615T121315_20240615T121342_054334_069C22_5A68__S1A_IW_SLC__1SDV_20240709T121313_20240709T121340_054684_06A84C_9C26,CANDIDATE
S1A_IW_SLC__1SDV_20240627T121314_20240627T121341_054509_06A233_B6A8,S1A_IW_SLC__1SDV_20240721T121313_20240721T121340_054859_06AE5A_D9A9,2024-06-27,2024-07-21,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240627T121314_20240627T121341_054509_06A233_B6A8__S1A_IW_SLC__1SDV_20240721T121313_20240721T121340_054859_06AE5A_D9A9,CANDIDATE
S1A_IW_SLC__1SDV_20240709T121313_20240709T121340_054684_06A84C_9C26,S1A_IW_SLC__1SDV_20240721T121313_20240721T121340_054859_06AE5A_D9A9,2024-07-09,2024-07-21,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240709T121313_20240709T121340_054684_06A84C_9C26__S1A_IW_SLC__1SDV_20240721T121313_20240721T121340_054859_06AE5A_D9A9,CANDIDATE
S1A_IW_SLC__1SDV_20240709T121313_20240709T121340_054684_06A84C_9C26,S1A_IW_SLC__1SDV_20240802T121313_20240802T121340_055034_06B474_F0E6,2024-07-09,2024-08-02,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240709T121313_20240709T121340_054684_06A84C_9C26__S1A_IW_SLC__1SDV_20240802T121313_20240802T121340_055034_06B474_F0E6,CANDIDATE
S1A_IW_SLC__1SDV_20240721T121313_20240721T121340_054859_06AE5A_D9A9,S1A_IW_SLC__1SDV_20240802T121313_20240802T121340_055034_06B474_F0E6,2024-07-21,2024-08-02,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240721T121313_20240721T121340_054859_06AE5A_D9A9__S1A_IW_SLC__1SDV_20240802T121313_20240802T121340_055034_06B474_F0E6,CANDIDATE
S1A_IW_SLC__1SDV_20240721T121313_20240721T121340_054859_06AE5A_D9A9,S1A_IW_SLC__1SDV_20240814T121313_20240814T121340_055209_06BAB8_CCDA,2024-07-21,2024-08-14,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240721T121313_20240721T121340_054859_06AE5A_D9A9__S1A_IW_SLC__1SDV_20240814T121313_20240814T121340_055209_06BAB8_CCDA,CANDIDATE
S1A_IW_SLC__1SDV_20240802T121313_20240802T121340_055034_06B474_F0E6,S1A_IW_SLC__1SDV_20240814T121313_20240814T121340_055209_06BAB8_CCDA,2024-08-02,2024-08-14,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240802T121313_20240802T121340_055034_06B474_F0E6__S1A_IW_SLC__1SDV_20240814T121313_20240814T121340_055209_06BAB8_CCDA,CANDIDATE
S1A_IW_SLC__1SDV_20240802T121313_20240802T121340_055034_06B474_F0E6,S1A_IW_SLC__1SDV_20240826T121313_20240826T121340_055384_06C139_7DE6,2024-08-02,2024-08-26,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240802T121313_20240802T121340_055034_06B474_F0E6__S1A_IW_SLC__1SDV_20240826T121313_20240826T121340_055384_06C139_7DE6,CANDIDATE
S1A_IW_SLC__1SDV_20240814T121313_20240814T121340_055209_06BAB8_CCDA,S1A_IW_SLC__1SDV_20240826T121313_20240826T121340_055384_06C139_7DE6,2024-08-14,2024-08-26,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240814T121313_20240814T121340_055209_06BAB8_CCDA__S1A_IW_SLC__1SDV_20240826T121313_20240826T121340_055384_06C139_7DE6,CANDIDATE
S1A_IW_SLC__1SDV_20240814T121313_20240814T121340_055209_06BAB8_CCDA,S1A_IW_SLC__1SDV_20240907T121313_20240907T121340_055559_06C7DA_2539,2024-08-14,2024-09-07,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240814T121313_20240814T121340_055209_06BAB8_CCDA__S1A_IW_SLC__1SDV_20240907T121313_20240907T121340_055559_06C7DA_2539,CANDIDATE
S1A_IW_SLC__1SDV_20240826T121313_20240826T121340_055384_06C139_7DE6,S1A_IW_SLC__1SDV_20240907T121313_20240907T121340_055559_06C7DA_2539,2024-08-26,2024-09-07,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240826T121313_20240826T121340_055384_06C139_7DE6__S1A_IW_SLC__1SDV_20240907T121313_20240907T121340_055559_06C7DA_2539,CANDIDATE
S1A_IW_SLC__1SDV_20240907T121313_20240907T121340_055559_06C7DA_2539,S1A_IW_SLC__1SDV_20240919T121314_20240919T121341_055734_06CEC2_4066,2024-09-07,2024-09-19,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240907T121313_20240907T121340_055559_06C7DA_2539__S1A_IW_SLC__1SDV_20240919T121314_20240919T121341_055734_06CEC2_4066,CANDIDATE
S1A_IW_SLC__1SDV_20240919T121314_20240919T121341_055734_06CEC2_4066,S1A_IW_SLC__1SDV_20241001T121314_20241001T121341_055909_06D5B2_3A63,2024-09-19,2024-10-01,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240919T121314_20240919T121341_055734_06CEC2_4066__S1A_IW_SLC__1SDV_20241001T121314_20241001T121341_055909_06D5B2_3A63,CANDIDATE
S1A_IW_SLC__1SDV_20240919T121314_20240919T121341_055734_06CEC2_4066,S1A_IW_SLC__1SDV_20241013T121314_20241013T121341_056084_06DC93_DA66,2024-09-19,2024-10-13,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240919T121314_20240919T121341_055734_06CEC2_4066__S1A_IW_SLC__1SDV_20241013T121314_20241013T121341_056084_06DC93_DA66,CANDIDATE
S1A_IW_SLC__1SDV_20241001T121314_20241001T121341_055909_06D5B2_3A63,S1A_IW_SLC__1SDV_20241013T121314_20241013T121341_056084_06DC93_DA66,2024-10-01,2024-10-13,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20241001T121314_20241001T121341_055909_06D5B2_3A63__S1A_IW_SLC__1SDV_20241013T121314_20241013T121341_056084_06DC93_DA66,CANDIDATE
S1A_IW_SLC__1SDV_20241001T121314_20241001T121341_055909_06D5B2_3A63,S1A_IW_SLC__1SDV_20241025T121314_20241025T121341_056259_06E389_2DD2,2024-10-01,2024-10-25,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20241001T121314_20241001T121341_055909_06D5B2_3A63__S1A_IW_SLC__1SDV_20241025T121314_20241025T121341_056259_06E389_2DD2,CANDIDATE
S1A_IW_SLC__1SDV_20241013T121314_20241013T121341_056084_06DC93_DA66,S1A_IW_SLC__1SDV_20241025T121314_20241025T121341_056259_06E389_2DD2,2024-10-13,2024-10-25,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20241013T121314_20241013T121341_056084_06DC93_DA66__S1A_IW_SLC__1SDV_20241025T121314_20241025T121341_056259_06E389_2DD2,CANDIDATE
S1A_IW_SLC__1SDV_20241013T121314_20241013T121341_056084_06DC93_DA66,S1A_IW_SLC__1SDV_20241106T121314_20241106T121341_056434_06EA75_192E,2024-10-13,2024-11-06,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20241013T121314_20241013T121341_056084_06DC93_DA66__S1A_IW_SLC__1SDV_20241106T121314_20241106T121341_056434_06EA75_192E,CANDIDATE
S1A_IW_SLC__1SDV_20241025T121314_20241025T121341_056259_06E389_2DD2,S1A_IW_SLC__1SDV_20241106T121314_20241106T121341_056434_06EA75_192E,2024-10-25,2024-11-06,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20241025T121314_20241025T121341_056259_06E389_2DD2__S1A_IW_SLC__1SDV_20241106T121314_20241106T121341_056434_06EA75_192E,CANDIDATE
S1A_IW_SLC__1SDV_20241025T121314_20241025T121341_056259_06E389_2DD2,S1A_IW_SLC__1SDV_20241118T121314_20241118T121341_056609_06F174_F57A,2024-10-25,2024-11-18,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20241025T121314_20241025T121341_056259_06E389_2DD2__S1A_IW_SLC__1SDV_20241118T121314_20241118T121341_056609_06F174_F57A,CANDIDATE
S1A_IW_SLC__1SDV_20241106T121314_20241106T121341_056434_06EA75_192E,S1A_IW_SLC__1SDV_20241118T121314_20241118T121341_056609_06F174_F57A,2024-11-06,2024-11-18,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20241106T121314_20241106T121341_056434_06EA75_192E__S1A_IW_SLC__1SDV_20241118T121314_20241118T121341_056609_06F174_F57A,CANDIDATE
S1A_IW_SLC__1SDV_20241106T121314_20241106T121341_056434_06EA75_192E,S1A_IW_SLC__1SDV_20241130T121313_20241130T121340_056784_06F86D_7D8E,2024-11-06,2024-11-30,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20241106T121314_20241106T121341_056434_06EA75_192E__S1A_IW_SLC__1SDV_20241130T121313_20241130T121340_056784_06F86D_7D8E,CANDIDATE
S1A_IW_SLC__1SDV_20241118T121314_20241118T121341_056609_06F174_F57A,S1A_IW_SLC__1SDV_20241130T121313_20241130T121340_056784_06F86D_7D8E,2024-11-18,2024-11-30,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20241118T121314_20241118T121341_056609_06F174_F57A__S1A_IW_SLC__1SDV_20241130T121313_20241130T121340_056784_06F86D_7D8E,CANDIDATE
S1A_IW_SLC__1SDV_20241118T121314_20241118T121341_056609_06F174_F57A,S1A_IW_SLC__1SDV_20241212T121312_20241212T121339_056959_06FF45_BF94,2024-11-18,2024-12-12,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20241118T121314_20241118T121341_056609_06F174_F57A__S1A_IW_SLC__1SDV_20241212T121312_20241212T121339_056959_06FF45_BF94,CANDIDATE
S1A_IW_SLC__1SDV_20241130T121313_20241130T121340_056784_06F86D_7D8E,S1A_IW_SLC__1SDV_20241212T121312_20241212T121339_056959_06FF45_BF94,2024-11-30,2024-12-12,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20241130T121313_20241130T121340_056784_06F86D_7D8E__S1A_IW_SLC__1SDV_20241212T121312_20241212T121339_056959_06FF45_BF94,CANDIDATE
S1A_IW_SLC__1SDV_20241130T121313_20241130T121340_056784_06F86D_7D8E,S1A_IW_SLC__1SDV_20241224T121311_20241224T121338_057134_070650_823B,2024-11-30,2024-12-24,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20241130T121313_20241130T121340_056784_06F86D_7D8E__S1A_IW_SLC__1SDV_20241224T121311_20241224T121338_057134_070650_823B,CANDIDATE
S1A_IW_SLC__1SDV_20241212T121312_20241212T121339_056959_06FF45_BF94,S1A_IW_SLC__1SDV_20241224T121311_20241224T121338_057134_070650_823B,2024-12-12,2024-12-24,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20241212T121312_20241212T121339_056959_06FF45_BF94__S1A_IW_SLC__1SDV_20241224T121311_20241224T121338_057134_070650_823B,CANDIDATE
S1A_IW_SLC__1SDV_20241212T121312_20241212T121339_056959_06FF45_BF94,S1A_IW_SLC__1SDV_20250105T121310_20250105T121337_057309_070D2E_34D4,2024-12-12,2025-01-05,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20241212T121312_20241212T121339_056959_06FF45_BF94__S1A_IW_SLC__1SDV_20250105T121310_20250105T121337_057309_070D2E_34D4,CANDIDATE
S1A_IW_SLC__1SDV_20241224T121311_20241224T121338_057134_070650_823B,S1A_IW_SLC__1SDV_20250105T121310_20250105T121337_057309_070D2E_34D4,2024-12-24,2025-01-05,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20241224T121311_20241224T121338_057134_070650_823B__S1A_IW_SLC__1SDV_20250105T121310_20250105T121337_057309_070D2E_34D4,CANDIDATE
S1A_IW_SLC__1SDV_20241224T121311_20241224T121338_057134_070650_823B,S1A_IW_SLC__1SDV_20250117T121308_20250117T121335_057484_07141C_96CE,2024-12-24,2025-01-17,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20241224T121311_20241224T121338_057134_070650_823B__S1A_IW_SLC__1SDV_20250117T121308_20250117T121335_057484_07141C_96CE,CANDIDATE
S1A_IW_SLC__1SDV_20250105T121310_20250105T121337_057309_070D2E_34D4,S1A_IW_SLC__1SDV_20250117T121308_20250117T121335_057484_07141C_96CE,2025-01-05,2025-01-17,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250105T121310_20250105T121337_057309_070D2E_34D4__S1A_IW_SLC__1SDV_20250117T121308_20250117T121335_057484_07141C_96CE,CANDIDATE
S1A_IW_SLC__1SDV_20250105T121310_20250105T121337_057309_070D2E_34D4,S1A_IW_SLC__1SDV_20250129T121308_20250129T121335_057659_071B11_E179,2025-01-05,2025-01-29,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250105T121310_20250105T121337_057309_070D2E_34D4__S1A_IW_SLC__1SDV_20250129T121308_20250129T121335_057659_071B11_E179,CANDIDATE
S1A_IW_SLC__1SDV_20250117T121308_20250117T121335_057484_07141C_96CE,S1A_IW_SLC__1SDV_20250129T121308_20250129T121335_057659_071B11_E179,2025-01-17,2025-01-29,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250117T121308_20250117T121335_057484_07141C_96CE__S1A_IW_SLC__1SDV_20250129T121308_20250129T121335_057659_071B11_E179,CANDIDATE
S1A_IW_SLC__1SDV_20250117T121308_20250117T121335_057484_07141C_96CE,S1A_IW_SLC__1SDV_20250210T121308_20250210T121334_057834_072205_E907,2025-01-17,2025-02-10,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250117T121308_20250117T121335_057484_07141C_96CE__S1A_IW_SLC__1SDV_20250210T121308_20250210T121334_057834_072205_E907,CANDIDATE
S1A_IW_SLC__1SDV_20250129T121308_20250129T121335_057659_071B11_E179,S1A_IW_SLC__1SDV_20250210T121308_20250210T121334_057834_072205_E907,2025-01-29,2025-02-10,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250129T121308_20250129T121335_057659_071B11_E179__S1A_IW_SLC__1SDV_20250210T121308_20250210T121334_057834_072205_E907,CANDIDATE
S1A_IW_SLC__1SDV_20250129T121308_20250129T121335_057659_071B11_E179,S1A_IW_SLC__1SDV_20250222T121307_20250222T121334_058009_072921_3834,2025-01-29,2025-02-22,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250129T121308_20250129T121335_057659_071B11_E179__S1A_IW_SLC__1SDV_20250222T121307_20250222T121334_058009_072921_3834,CANDIDATE
S1A_IW_SLC__1SDV_20250210T121308_20250210T121334_057834_072205_E907,S1A_IW_SLC__1SDV_20250222T121307_20250222T121334_058009_072921_3834,2025-02-10,2025-02-22,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250210T121308_20250210T121334_057834_072205_E907__S1A_IW_SLC__1SDV_20250222T121307_20250222T121334_058009_072921_3834,CANDIDATE
S1A_IW_SLC__1SDV_20250210T121308_20250210T121334_057834_072205_E907,S1A_IW_SLC__1SDV_20250306T121307_20250306T121334_058184_07304E_4C3E,2025-02-10,2025-03-06,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250210T121308_20250210T121334_057834_072205_E907__S1A_IW_SLC__1SDV_20250306T121307_20250306T121334_058184_07304E_4C3E,CANDIDATE
S1A_IW_SLC__1SDV_20250222T121307_20250222T121334_058009_072921_3834,S1A_IW_SLC__1SDV_20250306T121307_20250306T121334_058184_07304E_4C3E,2025-02-22,2025-03-06,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250222T121307_20250222T121334_058009_072921_3834__S1A_IW_SLC__1SDV_20250306T121307_20250306T121334_058184_07304E_4C3E,CANDIDATE
S1A_IW_SLC__1SDV_20250222T121307_20250222T121334_058009_072921_3834,S1A_IW_SLC__1SDV_20250318T121307_20250318T121334_058359_073734_A8BE,2025-02-22,2025-03-18,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250222T121307_20250222T121334_058009_072921_3834__S1A_IW_SLC__1SDV_20250318T121307_20250318T121334_058359_073734_A8BE,CANDIDATE
S1A_IW_SLC__1SDV_20250318T121307_20250318T121334_058359_073734_A8BE,S1A_IW_SLC__1SDV_20250330T121308_20250330T121335_058534_073E33_B66F,2025-03-18,2025-03-30,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250318T121307_20250318T121334_058359_073734_A8BE__S1A_IW_SLC__1SDV_20250330T121308_20250330T121335_058534_073E33_B66F,CANDIDATE
S1A_IW_SLC__1SDV_20250318T121307_20250318T121334_058359_073734_A8BE,S1A_IW_SLC__1SDV_20250411T121307_20250411T121334_058709_074561_54D5,2025-03-18,2025-04-11,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250318T121307_20250318T121334_058359_073734_A8BE__S1A_IW_SLC__1SDV_20250411T121307_20250411T121334_058709_074561_54D5,CANDIDATE
S1A_IW_SLC__1SDV_20250330T121308_20250330T121335_058534_073E33_B66F,S1A_IW_SLC__1SDV_20250411T121307_20250411T121334_058709_074561_54D5,2025-03-30,2025-04-11,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250330T121308_20250330T121335_058534_073E33_B66F__S1A_IW_SLC__1SDV_20250411T121307_20250411T121334_058709_074561_54D5,CANDIDATE
S1A_IW_SLC__1SDV_20250330T121308_20250330T121335_058534_073E33_B66F,S1A_IW_SLC__1SDV_20250423T121308_20250423T121335_058884_074C8A_241A,2025-03-30,2025-04-23,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250330T121308_20250330T121335_058534_073E33_B66F__S1A_IW_SLC__1SDV_20250423T121308_20250423T121335_058884_074C8A_241A,CANDIDATE
S1A_IW_SLC__1SDV_20250411T121307_20250411T121334_058709_074561_54D5,S1A_IW_SLC__1SDV_20250423T121308_20250423T121335_058884_074C8A_241A,2025-04-11,2025-04-23,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250411T121307_20250411T121334_058709_074561_54D5__S1A_IW_SLC__1SDV_20250423T121308_20250423T121335_058884_074C8A_241A,CANDIDATE
S1A_IW_SLC__1SDV_20250423T121308_20250423T121335_058884_074C8A_241A,S1A_IW_SLC__1SDV_20250505T121308_20250505T121335_059059_075384_2CCB,2025-04-23,2025-05-05,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250423T121308_20250423T121335_058884_074C8A_241A__S1A_IW_SLC__1SDV_20250505T121308_20250505T121335_059059_075384_2CCB,CANDIDATE
