reference_scene,secondary_scene,reference_date,secondary_date,temporal_baseline_days,orbit_direction,relative_orbit,pair_key,selection_status,connectivity_type,connectivity_rank
S1A_IW_SLC__1SDV_20241227T000434_20241227T000501_057170_0707B2_01AB,S1A_IW_SLC__1SDV_20250108T000433_20250108T000500_057345_070E97_2270,2024-12-27,2025-01-08,12.0,DESCENDING,48,S1A_IW_SLC__1SDV_20241227T000434_20241227T000501_057170_0707B2_01AB__S1A_IW_SLC__1SDV_20250108T000433_20250108T000500_057345_070E97_2270,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,15
S1D_IW_SLC__1SDV_20260828T122025_20260828T122052_004326_007FA4_5013,S1D_IW_SLC__1SDV_20260909T122026_20260909T122052_004501_0085C5_FC32,2026-08-28,2026-09-09,12.0,ASCENDING,85,S1D_IW_SLC__1SDV_20260828T122025_20260828T122052_004326_007FA4_5013__S1D_IW_SLC__1SDV_20260909T122026_20260909T122052_004501_0085C5_FC32,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,16
S1A_IW_SLC__1SDV_20250120T000432_20250120T000459_057520_071583_E5BE,S1A_IW_SLC__1SDV_20250201T000431_20250201T000458_057695_071C75_2940,2025-01-20,2025-02-01,12.0,DESCENDING,48,S1A_IW_SLC__1SDV_20250120T000432_20250120T000459_057520_071583_E5BE__S1A_IW_SLC__1SDV_20250201T000431_20250201T000458_057695_071C75_2940,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,17
S1A_IW_SLC__1SDV_20251222T000423_20251222T000450_062420_07D1C5_3038,S1A_IW_SLC__1SDV_20260103T000422_20260103T000449_062595_07D88A_717D,2025-12-22,2026-01-03,12.0,DESCENDING,48,S1A_IW_SLC__1SDV_20251222T000423_20251222T000450_062420_07D1C5_3038__S1A_IW_SLC__1SDV_20260103T000422_20260103T000449_062595_07D88A_717D,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,18
S1A_IW_SLC__1SDV_20250812T000427_20250812T000454_060495_07859A_435E,S1A_IW_SLC__1SDV_20250824T000427_20250824T000454_060670_078C7D_577D,2025-08-12,2025-08-24,12.0,DESCENDING,48,S1A_IW_SLC__1SDV_20250812T000427_20250812T000454_060495_07859A_435E__S1A_IW_SLC__1SDV_20250824T000427_20250824T000454_060670_078C7D_577D,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,19
S1A_IW_SLC__1SDV_20251128T000426_20251128T000453_062070_07C422_5457,S1A_IW_SLC__1SDV_20251210T000425_20251210T000452_062245_07CB00_5C61,2025-11-28,2025-12-10,12.0,DESCENDING,48,S1A_IW_SLC__1SDV_20251128T000426_20251128T000453_062070_07C422_5457__S1A_IW_SLC__1SDV_20251210T000425_20251210T000452_062245_07CB00_5C61,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,20
S1A_IW_SLC__1SDV_20250318T121307_20250318T121334_058359_073734_A8BE,S1A_IW_SLC__1SDV_20250411T121307_20250411T121334_058709_074561_54D5,2025-03-18,2025-04-11,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250318T121307_20250318T121334_058359_073734_A8BE__S1A_IW_SLC__1SDV_20250411T121307_20250411T121334_058709_074561_54D5,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,21
S1A_IW_SLC__1SDV_20240204T121314_20240204T121341_052409_06567F_3AFD,S1A_IW_SLC__1SDV_20240228T121314_20240228T121341_052759_066257_9945,2024-02-04,2024-02-28,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240204T121314_20240204T121341_052409_06567F_3AFD__S1A_IW_SLC__1SDV_20240228T121314_20240228T121341_052759_066257_9945,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,22
S1A_IW_SLC__1SDV_20240510T121316_20240510T121343_053809_068A02_58C3,S1A_IW_SLC__1SDV_20240603T121315_20240603T121342_054159_069615_B498,2024-05-10,2024-06-03,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240510T121316_20240510T121343_053809_068A02_58C3__S1A_IW_SLC__1SDV_20240603T121315_20240603T121342_054159_069615_B498,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,23
S1A_IW_SLC__1SDV_20250529T121307_20250529T121334_059409_075FCD_EC7E,S1A_IW_SLC__1SDV_20250622T121306_20250622T121333_059759_076BCC_C660,2025-05-29,2025-06-22,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250529T121307_20250529T121334_059409_075FCD_EC7E__S1A_IW_SLC__1SDV_20250622T121306_20250622T121333_059759_076BCC_C660,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,24
S1A_IW_SLC__1SDV_20250122T122114_20250122T122141_057557_0716FE_734A,S1A_IW_SLC__1SDV_20250215T122113_20250215T122140_057907_0724F0_9999,2025-01-22,2025-02-15,24.0,ASCENDING,85,S1A_IW_SLC__1SDV_20250122T122114_20250122T122141_057557_0716FE_734A__S1A_IW_SLC__1SDV_20250215T122113_20250215T122140_057907_0724F0_9999,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,25
S1A_IW_SLC__1SDV_20250222T121307_20250222T121334_058009_072921_3834,S1A_IW_SLC__1SDV_20250318T121307_20250318T121334_058359_073734_A8BE,2025-02-22,2025-03-18,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250222T121307_20250222T121334_058009_072921_3834__S1A_IW_SLC__1SDV_20250318T121307_20250318T121334_058359_073734_A8BE,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,26
S1A_IW_SLC__1SDV_20240709T121313_20240709T121340_054684_06A84C_9C26,S1A_IW_SLC__1SDV_20240802T121313_20240802T121340_055034_06B474_F0E6,2024-07-09,2024-08-02,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240709T121313_20240709T121340_054684_06A84C_9C26__S1A_IW_SLC__1SDV_20240802T121313_20240802T121340_055034_06B474_F0E6,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,27
S1A_IW_SLC__1SDV_20250210T121308_20250210T121334_057834_072205_E907,S1A_IW_SLC__1SDV_20250306T121307_20250306T121334_058184_07304E_4C3E,2025-02-10,2025-03-06,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250210T121308_20250210T121334_057834_072205_E907__S1A_IW_SLC__1SDV_20250306T121307_20250306T121334_058184_07304E_4C3E,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,28
S1A_IW_SLC__1SDV_20240627T121314_20240627T121341_054509_06A233_B6A8,S1A_IW_SLC__1SDV_20240721T121313_20240721T121340_054859_06AE5A_D9A9,2024-06-27,2024-07-21,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240627T121314_20240627T121341_054509_06A233_B6A8__S1A_IW_SLC__1SDV_20240721T121313_20240721T121340_054859_06AE5A_D9A9,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,29
S1A_IW_SLC__1SDV_20240522T121315_20240522T121342_053984_069006_423A,S1A_IW_SLC__1SDV_20240615T121315_20240615T121342_054334_069C22_5A68,2024-05-22,2024-06-15,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240522T121315_20240522T121342_053984_069006_423A__S1A_IW_SLC__1SDV_20240615T121315_20240615T121342_054334_069C22_5A68,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,30
S1A_IW_SLC__1SDV_20240123T121315_20240123T121341_052234_065093_F3A2,S1A_IW_SLC__1SDV_20240216T121314_20240216T121341_052584_065C6B_0649,2024-01-23,2024-02-16,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240123T121315_20240123T121341_052234_065093_F3A2__S1A_IW_SLC__1SDV_20240216T121314_20240216T121341_052584_065C6B_0649,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,31
S1A_IW_SLC__1SDV_20240111T121315_20240111T121342_052059_064AA5_7139,S1A_IW_SLC__1SDV_20240204T121314_20240204T121341_052409_06567F_3AFD,2024-01-11,2024-02-04,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240111T121315_20240111T121342_052059_064AA5_7139__S1A_IW_SLC__1SDV_20240204T121314_20240204T121341_052409_06567F_3AFD,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,32
S1A_IW_SLC__1SDV_20250802T122110_20250802T122137_060357_078073_F958,S1A_IW_SLC__1SDV_20250826T122110_20250826T122137_060707_078DF4_9818,2025-08-02,2025-08-26,24.0,ASCENDING,85,S1A_IW_SLC__1SDV_20250802T122110_20250802T122137_060357_078073_F958__S1A_IW_SLC__1SDV_20250826T122110_20250826T122137_060707_078DF4_9818,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,33
S1A_IW_SLC__1SDV_20250203T122114_20250203T122141_057732_071DEE_864D,S1A_IW_SLC__1SDV_20250227T122113_20250227T122140_058082_072C12_AAC0,2025-02-03,2025-02-27,24.0,ASCENDING,85,S1A_IW_SLC__1SDV_20250203T122114_20250203T122141_057732_071DEE_864D__S1A_IW_SLC__1SDV_20250227T122113_20250227T122140_058082_072C12_AAC0,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,34
S1A_IW_SLC__1SDV_20250215T122113_20250215T122140_057907_0724F0_9999,S1A_IW_SLC__1SDV_20250311T122113_20250311T122140_058257_07332C_6F6B,2025-02-15,2025-03-11,24.0,ASCENDING,85,S1A_IW_SLC__1SDV_20250215T122113_20250215T122140_057907_0724F0_9999__S1A_IW_SLC__1SDV_20250311T122113_20250311T122140_058257_07332C_6F6B,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,35
S1A_IW_SLC__1SDV_20250721T122110_20250721T122137_060182_077A6E_0CE6,S1A_IW_SLC__1SDV_20250814T122110_20250814T122137_060532_07870F_58A9,2025-07-21,2025-08-14,24.0,ASCENDING,85,S1A_IW_SLC__1SDV_20250721T122110_20250721T122137_060182_077A6E_0CE6__S1A_IW_SLC__1SDV_20250814T122110_20250814T122137_060532_07870F_58A9,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,36
S1A_IW_SLC__1SDV_20250622T121306_20250622T121333_059759_076BCC_C660,S1A_IW_SLC__1SDV_20250716T121304_20250716T121331_060109_0777EA_58DD,2025-06-22,2025-07-16,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250622T121306_20250622T121333_059759_076BCC_C660__S1A_IW_SLC__1SDV_20250716T121304_20250716T121331_060109_0777EA_58DD,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,37
S1A_IW_SLC__1SDV_20250610T121306_20250610T121333_059584_0765C2_47C7,S1A_IW_SLC__1SDV_20250704T121305_20250704T121332_059934_0771E8_4C74,2025-06-10,2025-07-04,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250610T121306_20250610T121333_059584_0765C2_47C7__S1A_IW_SLC__1SDV_20250704T121305_20250704T121332_059934_0771E8_4C74,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,38
S1A_IW_SLC__1SDV_20250704T121305_20250704T121332_059934_0771E8_4C74,S1A_IW_SLC__1SDV_20250728T121304_20250728T121331_060284_077DEF_9EBF,2025-07-04,2025-07-28,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250704T121305_20250704T121332_059934_0771E8_4C74__S1A_IW_SLC__1SDV_20250728T121304_20250728T121331_060284_077DEF_9EBF,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,39
S1A_IW_SLC__1SDV_20241227T000434_20241227T000501_057170_0707B2_01AB,S1A_IW_SLC__1SDV_20250120T000432_20250120T000459_057520_071583_E5BE,2024-12-27,2025-01-20,24.0,DESCENDING,48,S1A_IW_SLC__1SDV_20241227T000434_20241227T000501_057170_0707B2_01AB__S1A_IW_SLC__1SDV_20250120T000432_20250120T000459_057520_071583_E5BE,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,40
S1A_IW_SLC__1SDV_20250120T000432_20250120T000459_057520_071583_E5BE,S1A_IW_SLC__1SDV_20250213T000431_20250213T000458_057870_07236F_0C69,2025-01-20,2025-02-13,24.0,DESCENDING,48,S1A_IW_SLC__1SDV_20250120T000432_20250120T000459_057520_071583_E5BE__S1A_IW_SLC__1SDV_20250213T000431_20250213T000458_057870_07236F_0C69,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,41
S1A_IW_SLC__1SDV_20250108T000433_20250108T000500_057345_070E97_2270,S1A_IW_SLC__1SDV_20250201T000431_20250201T000458_057695_071C75_2940,2025-01-08,2025-02-01,24.0,DESCENDING,48,S1A_IW_SLC__1SDV_20250108T000433_20250108T000500_057345_070E97_2270__S1A_IW_SLC__1SDV_20250201T000431_20250201T000458_057695_071C75_2940,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,42
S1A_IW_SLC__1SDV_20250731T000430_20250731T000457_060320_077F24_0884,S1A_IW_SLC__1SDV_20250824T000427_20250824T000454_060670_078C7D_577D,2025-07-31,2025-08-24,24.0,DESCENDING,48,S1A_IW_SLC__1SDV_20250731T000430_20250731T000457_060320_077F24_0884__S1A_IW_SLC__1SDV_20250824T000427_20250824T000454_060670_078C7D_577D,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,43
S1A_IW_SLC__1SDV_20250719T000428_20250719T000455_060145_077923_2E2A,S1A_IW_SLC__1SDV_20250812T000427_20250812T000454_060495_07859A_435E,2025-07-19,2025-08-12,24.0,DESCENDING,48,S1A_IW_SLC__1SDV_20250719T000428_20250719T000455_060145_077923_2E2A__S1A_IW_SLC__1SDV_20250812T000427_20250812T000454_060495_07859A_435E,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,44
S1A_IW_SLC__1SDV_20250812T000427_20250812T000454_060495_07859A_435E,S1A_IW_SLC__1SDV_20250905T000427_20250905T000454_060845_07936C_92C3,2025-08-12,2025-09-05,24.0,DESCENDING,48,S1A_IW_SLC__1SDV_20250812T000427_20250812T000454_060495_07859A_435E__S1A_IW_SLC__1SDV_20250905T000427_20250905T000454_060845_07936C_92C3,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,45
S1A_IW_SLC__1SDV_20251116T000427_20251116T000454_061895_07BD4A_BB85,S1A_IW_SLC__1SDV_20251210T000425_20251210T000452_062245_07CB00_5C61,2025-11-16,2025-12-10,24.0,DESCENDING,48,S1A_IW_SLC__1SDV_20251116T000427_20251116T000454_061895_07BD4A_BB85__S1A_IW_SLC__1SDV_20251210T000425_20251210T000452_062245_07CB00_5C61,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,46
S1A_IW_SLC__1SDV_20251128T000426_20251128T000453_062070_07C422_5457,S1A_IW_SLC__1SDV_20251222T000423_20251222T000450_062420_07D1C5_3038,2025-11-28,2025-12-22,24.0,DESCENDING,48,S1A_IW_SLC__1SDV_20251128T000426_20251128T000453_062070_07C422_5457__S1A_IW_SLC__1SDV_20251222T000423_20251222T000450_062420_07D1C5_3038,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,47
S1A_IW_SLC__1SDV_20241215T000435_20241215T000502_056995_0700B5_E39C,S1A_IW_SLC__1SDV_20250108T000433_20250108T000500_057345_070E97_2270,2024-12-15,2025-01-08,24.0,DESCENDING,48,S1A_IW_SLC__1SDV_20241215T000435_20241215T000502_056995_0700B5_E39C__S1A_IW_SLC__1SDV_20250108T000433_20250108T000500_057345_070E97_2270,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,48
S1A_IW_SLC__1SDV_20251210T000425_20251210T000452_062245_07CB00_5C61,S1A_IW_SLC__1SDV_20260103T000422_20260103T000449_062595_07D88A_717D,2025-12-10,2026-01-03,24.0,DESCENDING,48,S1A_IW_SLC__1SDV_20251210T000425_20251210T000452_062245_07CB00_5C61__S1A_IW_SLC__1SDV_20260103T000422_20260103T000449_062595_07D88A_717D,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,49
S1A_IW_SLC__1SDV_20251222T000423_20251222T000450_062420_07D1C5_3038,S1A_IW_SLC__1SDV_20260115T000421_20260115T000448_062770_07DF47_DCA4,2025-12-22,2026-01-15,24.0,DESCENDING,48,S1A_IW_SLC__1SDV_20251222T000423_20251222T000450_062420_07D1C5_3038__S1A_IW_SLC__1SDV_20260115T000421_20260115T000448_062770_07DF47_DCA4,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,50
